machine_id,timestamp,state,online
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-27 05:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-27 06:00:00+00,IDLE,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-27 06:00:00+00,IDLE,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-27 06:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-27 06:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-27 07:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-27 07:00:00+00,IDLE,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-27 07:00:00+00,IDLE,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-27 07:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-27 08:00:00+00,IDLE,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-27 08:00:00+00,IDLE,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-27 08:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-27 08:00:00+00,IDLE,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-27 09:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-27 09:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-27 09:00:00+00,IDLE,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-27 09:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-27 10:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-27 10:00:00+00,IDLE,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-27 10:00:00+00,IDLE,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-27 10:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-27 11:00:00+00,PRINTING,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-27 11:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-27 11:00:00+00,IDLE,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-27 11:00:00+00,IDLE,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-27 12:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-27 12:00:00+00,PRINTING,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-27 12:00:00+00,IDLE,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-27 12:00:00+00,IDLE,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-27 13:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-27 13:00:00+00,IDLE,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-27 13:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-27 13:00:00+00,FINISHED,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-27 14:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-27 14:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-27 14:00:00+00,FINISHED,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-27 14:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-27 15:00:00+00,FINISHED,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-27 15:00:00+00,IDLE,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-27 15:00:00+00,IDLE,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-27 15:00:00+00,IDLE,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-27 16:00:00+00,IDLE,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-27 16:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-27 16:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-27 16:00:00+00,FINISHED,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-27 17:00:00+00,IDLE,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-27 17:00:00+00,IDLE,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-27 17:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-27 17:00:00+00,FINISHED,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-27 18:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-27 18:00:00+00,IDLE,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-27 18:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-27 18:00:00+00,FINISHED,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-27 19:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-27 19:00:00+00,FINISHED,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-27 19:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-27 19:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-27 20:00:00+00,FINISHED,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-27 20:00:00+00,IDLE,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-27 20:00:00+00,IDLE,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-27 20:00:00+00,IDLE,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-27 21:00:00+00,IDLE,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-27 21:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-27 21:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-27 21:00:00+00,FINISHED,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-27 22:00:00+00,FINISHED,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-27 22:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-27 22:00:00+00,IDLE,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-27 22:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-27 23:00:00+00,IDLE,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-27 23:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-27 23:00:00+00,FINISHED,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-27 23:00:00+00,IDLE,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-28 00:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-28 00:00:00+00,IDLE,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-28 00:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-28 00:00:00+00,FINISHED,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-28 01:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-28 01:00:00+00,IDLE,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-28 01:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-28 01:00:00+00,FINISHED,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-28 02:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-28 02:00:00+00,IDLE,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-28 02:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-28 02:00:00+00,FINISHED,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-28 03:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-28 03:00:00+00,FINISHED,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-28 03:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-28 03:00:00+00,IDLE,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-28 04:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-28 04:00:00+00,IDLE,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-28 04:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-28 04:00:00+00,FINISHED,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-28 05:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-28 05:00:00+00,IDLE,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-28 05:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-28 05:00:00+00,FINISHED,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-28 06:00:00+00,FINISHED,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-28 06:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-28 06:00:00+00,IDLE,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-28 06:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-28 07:00:00+00,FINISHED,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-28 07:00:00+00,IDLE,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-28 07:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-28 07:00:00+00,IDLE,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-28 08:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-28 08:00:00+00,FINISHED,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-28 08:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-28 08:00:00+00,IDLE,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-28 09:00:00+00,IDLE,true
79ade4be-7076-4aec-bd6b-942bd3791cf0,2026-05-28 09:00:00+00,IDLE,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-28 09:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-28 09:00:00+00,FINISHED,true
51b05e66-1679-4776-afbc-d38ca8629dc8,2026-05-28 10:00:00+00,IDLE,true
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,2026-05-28 10:00:00+00,FINISHED,true
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,2026-05-28 10:00:00+00,IDLE,true
